TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Indiana Pacers,2020,0,0.472,115.3,43.3,33.7,0.1,50.2,47.6,3,18,21,9,26,7,9
Washington Wizards,2020,0,0.472,116.6,43.2,35.5,-1.6,49.6,49.4,5,28,1,19,17,16,1
Charlotte Hornets,2020,0,0.458,109.5,39.9,33.2,-1.9,48.9,49.6,20,10,26,21,7,17,26
San Antonio Spurs,2020,0,0.458,111.1,41.9,34.6,-1.5,49.3,48.5,7,30,9,10,23,12,27
Chicago Bulls,2020,0,0.431,110.7,42.2,35.3,-1.1,49.9,51.9,13,16,30,11,18,13,21
New Orleans Pelicans,2020,0,0.431,114.6,42.5,35.7,-0.3,50.8,52.7,10,27,4,29,1,1,28
Sacramento Kings,2020,0,0.431,113.7,42.6,32.0,-3.8,48.1,48.2,14,19,22,25,21,19,12
Toronto Raptors,2020,0,0.375,111.3,39.7,32.1,-0.4,48.6,47.9,12,4,10,4,22,4,3
Minnesota Timberwolves,2020,0,0.319,112.1,40.7,33.0,-5.3,46.9,48.4,6,13,8,22,9,5,4
Cleveland Cavaliers,2020,0,0.306,103.8,38.6,32.3,-8.3,46.0,49.9,28,29,14,26,10,2,24
Oklahoma City Thunder,2020,0,0.306,105.0,38.8,35.7,-10.6,44.2,49.4,19,20,29,30,14,8,25
Orlando Magic,2020,0,0.292,104.0,38.3,35.1,-9.3,45.0,48.8,9,26,16,17,11,9,30
Detroit Pistons,2020,0,0.278,106.6,38.7,33.1,-4.5,47.3,49.3,29,22,7,24,19,3,6
Houston Rockets,2020,0,0.236,108.8,39.3,33.3,-7.4,45.1,47.4,15,9,18,27,24,10,10
Phoenix Suns,2021,0,0.78,114.8,43.7,35.5,7.5,54.8,50.3,6,20,24,7,18,27,12
Memphis Grizzlies,2021,0,0.683,115.6,43.5,35.0,5.3,53.0,52.6,1,23,14,28,1,1,14
Golden State Warriors,2021,1,0.646,111.0,40.5,35.7,5.5,53.6,51.0,21,3,26,17,19,29,4
Miami Heat,2021,0,0.646,110.0,39.6,33.9,4.5,52.9,51.0,28,6,12,5,20,28,6
Dallas Mavericks,2021,0,0.634,108.0,39.3,33.8,3.5,51.1,49.6,27,10,20,16,24,30,15
Boston Celtics,2021,0,0.622,111.8,40.7,35.5,7.4,54.7,50.9,17,8,15,2,11,16,26
Milwaukee Bucks,2021,0,0.622,115.5,41.8,36.5,3.2,51.6,51.2,8,4,8,15,15,22,28
Philadelphia 76ers,2021,0,0.622,109.9,39.4,33.8,2.8,51.7,49.0,30,21,1,1,30,17,19
Utah Jazz,2021,0,0.598,113.6,40.6,35.6,6.2,52.8,52.5,24,2,6,20,9,23,20
Denver Nuggets,2021,0,0.585,112.7,41.7,34.9,2.3,51.6,51.5,23,13,19,8,25,12,11
Toronto Raptors,2021,0,0.585,109.4,40.6,32.0,2.2,49.4,50.8,4,19,23,23,2,6,18
Chicago Bulls,2021,0,0.561,111.6,41.7,33.7,-0.5,49.6,49.5,20,28,9,3,29,7,22
Minnesota Timberwolves,2021,0,0.561,115.9,41.6,32.9,2.7,50.4,49.0,5,1,4,14,6,13,2
Brooklyn Nets,2021,0,0.537,112.9,42.0,34.1,0.9,51.2,49.9,12,24,10,6,14,9,7
Cleveland Cavaliers,2021,0,0.537,107.8,39.7,34.0,2.1,51.7,50.6,29,22,17,21,16,18,30
Atlanta Hawks,2021,0,0.524,113.9,41.5,33.9,1.6,50.9,50.1,13,11,3,4,17,21,24
Charlotte Hornets,2021,0,0.524,115.3,42.8,33.7,0.5,50.4,48.6,3,5,25,27,10,19,13
LA Clippers,2021,0,0.512,108.4,40.1,34.9,0.0,50.2,48.6,18,12,27,9,26,25,25
New York Knicks,2021,0,0.451,106.5,37.7,34.6,-0.4,49.1,51.2,25,9,5,26,4,20,8
New Orleans Pelicans,2021,0,0.439,109.3,40.2,33.2,-0.8,50.0,51.8,16,29,2,10,3,14,16
Washington Wizards,2021,0,0.427,108.6,40.6,34.1,-3.4,49.6,49.4,26,30,16,12,28,24,23
San Antonio Spurs,2021,0,0.415,113.2,43.2,34.3,0.2,51.0,49.4,2,26,29,25,7,10,29
Los Angeles Lakers,2021,0,0.402,112.1,41.6,34.5,-2.9,48.2,49.0,10,18,18,29,23,26,10
Sacramento Kings,2021,0,0.366,110.3,40.5,33.4,-5.2,47.3,48.4,15,25,7,18,21,15,21
Portland Trail Blazers,2021,0,0.329,106.2,38.5,32.5,-9.1,44.7,48.7,19,14,21,22,12,8,3
Indiana Pacers,2021,0,0.305,111.5,41.4,32.6,-3.6,47.8,51.2,7,15,22,19,5,11,9
Oklahoma City Thunder,2021,0,0.293,103.7,38.3,35.2,-8.0,45.1,48.7,9,17,30,24,13,2,27
Detroit Pistons,2021,0,0.28,104.8,38.2,32.0,-7.7,45.0,48.1,11,27,13,13,8,4,1
Orlando Magic,2021,0,0.268,104.2,38.3,35.2,-8.1,45.8,49.0,14,16,28,11,27,5,17
Houston Rockets,2021,0,0.244,109.7,39.4,32.4,-8.3,45.1,48.5,22,7,11,30,22,3,5
Milwaukee Bucks,2022,0,0.707,116.9,42.7,37.5,3.4,52.3,52.1,6,4,28,28,11,26,29
Boston Celtics,2022,0,0.695,117.9,42.2,35.6,6.7,53.4,50.6,15,2,23,4,20,27,24
Philadelphia 76ers,2022,0,0.659,115.2,40.8,32.2,4.4,52.4,49.6,30,11,1,1,27,15,12
Denver Nuggets,2022,1,0.646,115.8,43.6,32.9,3.3,52.5,51.4,22,18,27,26,16,20,27
Cleveland Cavaliers,2022,0,0.622,112.3,41.6,31.4,5.6,53.1,49.6,27,19,24,19,21,18,22
Memphis Grizzlies,2022,0,0.622,116.9,43.7,34.6,4.0,51.9,50.7,4,16,25,30,4,7,16
Sacramento Kings,2022,0,0.585,120.7,43.6,32.9,2.6,51.1,49.9,16,5,3,12,23,21,20
New York Knicks,2022,0,0.573,116.0,42.0,34.0,2.8,50.9,52.1,12,12,7,22,3,17,13
Brooklyn Nets,2022,0,0.549,113.4,41.5,32.3,1.1,51.0,47.2,28,9,19,7,29,28,6
Phoenix Suns,2022,0,0.549,113.6,42.1,32.4,2.2,51.4,50.8,9,13,26,10,5,24,4
Golden State Warriors,2022,0,0.537,118.9,43.1,34.1,1.7,51.0,50.2,8,1,29,9,14,25,3
LA Clippers,2022,0,0.537,113.6,41.1,33.4,0.5,49.8,50.5,24,10,13,18,19,22,21
Miami Heat,2022,0,0.537,109.5,39.2,30.9,-0.5,49.6,49.8,26,17,10,2,22,29,28
Los Angeles Lakers,2022,0,0.524,117.2,42.9,35.7,0.7,51.1,50.5,13,24,2,20,18,8,30
Minnesota Timberwolves,2022,0,0.512,115.8,42.9,32.8,0.2,50.3,48.5,18,14,18,23,26,23,2
New Orleans Pelicans,2022,0,0.512,114.4,42.0,33.1,1.9,51.4,51.2,17,23,8,11,13,13,9
Atlanta Hawks,2022,0,0.5,118.4,44.6,33.2,0.1,50.0,50.0,3,25,16,3,9,10,25
Toronto Raptors,2022,0,0.5,112.9,41.9,30.3,1.5,49.6,50.2,5,27,17,16,2,16,17
Chicago Bulls,2022,0,0.488,113.1,42.5,33.9,1.3,51.2,49.3,21,29,20,5,28,14,23
Oklahoma City Thunder,2022,0,0.488,117.5,43.1,32.3,1.0,49.8,48.7,1,15,9,6,8,3,7
Dallas Mavericks,2022,0,0.463,114.2,40.0,31.2,-0.2,48.7,47.1,29,3,12,24,30,30,8
Utah Jazz,2022,0,0.451,117.1,42.5,34.1,-0.7,49.8,51.2,10,7,14,14,6,12,10
Indiana Pacers,2022,0,0.427,116.3,42.0,31.4,-3.3,48.2,48.2,11,6,15,13,17,5,5
Washington Wizards,2022,0,0.427,113.2,42.1,34.2,-1.2,50.4,50.5,20,21,21,15,24,11,26
Orlando Magic,2022,0,0.415,111.4,40.5,33.1,-2.3,48.5,50.5,23,26,5,17,15,9,15
Portland Trail Blazers,2022,0,0.402,113.4,40.5,31.1,-4.0,47.4,48.6,25,8,6,8,25,19,18
Charlotte Hornets,2022,0,0.329,111.0,41.3,33.5,-6.3,47.3,49.1,7,28,22,27,12,2,14
Houston Rockets,2022,0,0.268,110.7,40.6,32.9,-8.1,45.7,53.0,14,30,11,25,1,1,11
San Antonio Spurs,2022,0,0.268,113.0,43.1,31.9,-9.9,45.2,49.5,2,22,30,29,7,6,19
Detroit Pistons,2022,0,0.207,110.3,39.6,31.3,-7.9,44.9,49.1,19,20,4,21,10,4,1
